lat,lon,value,units
-3.57,151.14,180.0,Ma
-3.57,156.71,180.0,Ma
-3.57,162.29,180.0,Ma
-3.57,167.86,180.0,Ma
-3.57,173.43,180.0,Ma
-3.57,179.00,180.0,Ma
0.00,-27.73,16.4,Ma
0.00,-21.82,19.1,Ma
0.00,41.11,77.1,Ma
0.00,51.67,72.2,Ma
0.00,62.22,8.8,Ma
0.00,72.78,54.5,Ma
0.00,83.33,117.8,Ma
0.00,93.89,180.0,Ma
0.00,104.44,180.0,Ma
0.00,115.00,180.0,Ma
4.38,-150.00,180.0,Ma
4.38,-141.11,180.0,Ma
4.38,-132.22,170.7,Ma
4.38,-123.33,117.4,Ma
4.38,-114.44,64.0,Ma
4.38,-105.56,10.7,Ma
4.38,-96.67,45.7,Ma
9.29,151.14,180.0,Ma
9.29,156.71,180.0,Ma
9.29,162.29,180.0,Ma
9.29,167.86,180.0,Ma
9.29,173.43,180.0,Ma
9.29,179.00,180.0,Ma
12.50,41.11,94.0,Ma
12.50,51.67,96.1,Ma
12.50,62.22,32.8,Ma
12.50,72.78,39.3,Ma
12.50,83.33,102.6,Ma
12.50,93.89,166.0,Ma
12.50,104.44,180.0,Ma
12.50,115.00,180.0,Ma
13.75,-27.73,56.8,Ma
13.75,-21.82,21.4,Ma
22.14,151.14,180.0,Ma
22.14,156.71,180.0,Ma
22.14,162.29,180.0,Ma
22.14,167.86,180.0,Ma
22.14,173.43,180.0,Ma
22.14,179.00,180.0,Ma
25.00,41.11,109.8,Ma
25.00,51.67,119.5,Ma
25.00,62.22,56.2,Ma
25.00,72.78,24.6,Ma
25.00,83.33,88.0,Ma
25.00,93.89,151.3,Ma
25.00,104.44,180.0,Ma
25.00,115.00,180.0,Ma
27.50,-45.45,180.0,Ma
27.50,-39.55,166.2,Ma
27.50,-33.64,130.7,Ma
27.50,-27.73,95.3,Ma
27.50,-21.82,59.8,Ma
35.00,151.14,180.0,Ma
35.00,156.71,180.0,Ma
35.00,162.29,180.0,Ma
35.00,167.86,180.0,Ma
35.00,173.43,180.0,Ma
35.00,179.00,180.0,Ma
41.25,-45.45,180.0,Ma
41.25,-39.55,180.0,Ma
41.25,-33.64,165.2,Ma
41.25,-27.73,129.7,Ma
41.25,-21.82,94.2,Ma
55.00,-45.45,180.0,Ma
55.00,-39.55,180.0,Ma
55.00,-33.64,180.0,Ma
55.00,-27.73,158.5,Ma
55.00,-21.82,123.0,Ma
